listing_id,brand,category,gender,gender_source,material,size,condition,age_months,original_price,provider_price
L0001,Sabyasachi,Ethnic Wear,Unisex,category_derived,Silk,M,Like New,4,89999,12400
L0002,Zudio,Top,Women,category_derived,Cotton,S,Like New,4,599,65
L0003,Nike,Activewear,Unisex,category_derived,Polyester,L,New,2,3999,480
L0004,Gucci,Jacket,Unisex,category_derived,Leather,S,New,1,61999,9100
L0005,Rangriti,Kurta,Unisex,category_derived,Cotton,S,New,2,999,125
L0006,Louis Vuitton,Jacket,Unisex,category_derived,Leather,M,Used,10,150000,14850
L0007,Zara,Dress,Women,category_derived,Linen,L,New,2,9999,1155
L0008,Biba,Kurta,Unisex,category_derived,Silk,M,Like New,5,1499,185
L0009,Roadster,Jeans,Unisex,category_derived,Denim,XL,New,2,1099,135
L0010,Anita Dongre,Saree,Women,category_derived,Silk,M,New,3,59999,8580
L0011,Easybuy,Top,Women,category_derived,Polyester,S,Like New,3,499,60
L0012,Manyavar,Ethnic Wear,Unisex,category_derived,Silk,XL,New,2,5499,785
L0013,GAP,Jeans,Unisex,category_derived,Denim,L,Used,11,5999,515
L0014,Fabindia,Kurta,Unisex,category_derived,Silk,M,Used,7,2999,280
L0015,Prada,Dress,Women,category_derived,Silk,S,Like New,4,95000,11650
L0016,HRX,Activewear,Unisex,category_derived,Polyester,XS,New,3,999,120
L0017,Sabyasachi,Saree,Women,category_derived,Silk,L,New,2,145000,19800
L0018,Moda Rapido,Dress,Women,category_derived,Polyester,S,New,1,1099,160
L0019,Bewakoof,Top,Women,category_derived,Cotton,S,New,2,899,110
L0020,Marks & Spencer,Shirt,Unisex,category_derived,Linen,L,Like New,5,3499,525
L0021,Tarun Tahiliani,Saree,Women,category_derived,Silk,M,Like New,6,69999,8850
L0022,Mufti,Shirt,Unisex,category_derived,Linen,L,Used,10,3099,265
L0023,Libas,Kurta,Unisex,category_derived,Cotton,S,New,4,899,100
L0024,Anouk,Saree,Women,category_derived,Silk,M,New,3,1999,285
L0025,Flying Machine,Jeans,Unisex,category_derived,Denim,L,Like New,4,1499,185
L0026,Global Desi,Saree,Women,category_derived,Silk,S,Like New,6,2499,330
L0027,Pantaloons,Jeans,Unisex,category_derived,Denim,S,Used,9,1099,95
L0028,Indya,Jacket,Unisex,category_derived,Denim,L,Like New,5,1299,145
L0029,Zara,Jacket,Unisex,category_derived,Denim,M,Used,8,4999,475
L0030,H&M,Dress,Women,category_derived,Cotton,S,Used,9,1199,105
L0031,Suta,Saree,Women,category_derived,Silk,M,New,1,2999,430
L0032,Uniqlo,Jacket,Unisex,category_derived,Polyester,M,Like New,5,1999,220
L0033,Forever 21,Dress,Women,category_derived,Polyester,S,New,2,1299,175
L0034,Max Fashion,Jeans,Unisex,category_derived,Denim,M,New,3,999,120
L0035,Highlander,Shirt,Unisex,category_derived,Cotton,M,New,3,999,125
L0036,Jaypore,Saree,Women,category_derived,Silk,M,Like New,6,8999,1150
L0037,Louis Vuitton,Shirt,Unisex,category_derived,Linen,XS,Like New,5,70499,8550
L0038,Armani,Jacket,Unisex,category_derived,Leather,S,Used,11,45459,4150
L0039,W for Woman,Saree,Women,category_derived,Silk,M,New,2,2499,330
L0040,Biba,Dress,Women,category_derived,Silk,M,Like New,6,5500,825
L0041,Global Desi,Ethnic Wear,Unisex,category_derived,Silk,M,Like New,5,3999,600
L0042,Soch,Ethnic Wear,Unisex,category_derived,Silk,S,Like New,4,1499,205
L0043,Manish Malhotra,Ethnic Wear,Unisex,category_derived,Silk,M,Used,8,79999,8700
L0044,Aurelia,Kurta,Unisex,category_derived,Cotton,S,Used,8,999,100
L0045,Tommy Hilfiger,Shirt,Unisex,category_derived,Cotton,L,Like New,6,5999,735
L0046,Calvin Klein,Jacket,Unisex,category_derived,Denim,M,Used,9,7999,760
L0047,Red Tape,Shirt,Unisex,category_derived,Linen,S,New,3,899,110
L0048,Puma,Activewear,Unisex,category_derived,Polyester,M,Used,7,2999,260
L0049,Label Ritu Kumar,Ethnic Wear,Unisex,category_derived,Silk,S,New,3,14500,2175
L0050,Fabindia,Kurta,Unisex,category_derived,Cotton,XL,Used,10,2799,280
L0051,Prada,Dress,Women,category_derived,Silk,L,Like New,6,85999,10600
L0052,Nalli,Saree,Women,category_derived,Silk,L,Like New,3,6999,965
L0053,Zudio,Top,Women,category_derived,Cotton,S,New,2,499,75
L0054,Adidas,Activewear,Unisex,category_derived,Polyester,S,Like New,5,3499,425
L0055,Libas,Kurta,Unisex,category_derived,Silk,S,New,2,1999,300
L0056,Bewakoof,Top,Women,category_derived,Polyester,S,Used,6,499,45
L0057,Moda Rapido,Dress,Women,category_derived,Denim,S,New,1,899,115
L0058,Roadster,Shirt,Unisex,category_derived,Cotton,M,New,3,1099,135
L0059,Levi's,Jeans,Unisex,category_derived,Denim,M,New,2,3999,480
L0060,FBB,Ethnic Wear,Unisex,category_derived,Cotton,L,New,4,699,90
L0061,Gucci,Jacket,Unisex,category_derived,Leather,M,Like New,6,120000,13300
L0062,HRX,Activewear,Unisex,category_derived,Polyester,M,New,3,2299,345
L0063,Skechers,Activewear,Unisex,category_derived,Polyester,M,Like New,4,4999,610
L0064,Versace,Dress,Women,category_derived,Silk,M,Like New,5,110000,13400
L0065,Mufti,Shirt,Unisex,category_derived,Linen,M,Like New,4,2899,435
L0066,Reebok,Activewear,Unisex,category_derived,Polyester,S,Used,3,2799,285
L0067,Anouk,Saree,Women,category_derived,Cotton,S,Used,7,1899,155
L0068,Masaba,Dress,Women,category_derived,Silk,M,Like New,4,12000,1800
L0069,Indya,Jacket,Unisex,category_derived,Denim,M,Used,9,1499,145
L0070,Pantaloons,Dress,Women,category_derived,Cotton,L,Like New,6,2499,375
L0071,Vishal Mega Mart,Kurta,Unisex,category_derived,Cotton,L,Like New,5,799,90
L0072,Zudio,Shirt,Unisex,category_derived,Cotton,M,New,1,399,50
L0073,Under Armour,Activewear,Unisex,category_derived,Polyester,M,New,3,6999,840
L0074,Reliance Trends,Top,Women,category_derived,Cotton,S,Like New,6,799,90
L0075,Easybuy,Shirt,Unisex,category_derived,Polyester,M,Used,8,699,65
L0076,House of Masaba,Saree,Women,category_derived,Silk,M,Like New,7,13499,1650
L0077,AND,Dress,Women,category_derived,Cotton,M,Like New,5,4999,525
L0078,Nicobar,Dress,Women,category_derived,Linen,S,New,3,7999,925
L0079,American Eagle,Jeans,Unisex,category_derived,Denim,XS,Used,8,8499,730
L0080,Anita Dongre,Ethnic Wear,Unisex,category_derived,Silk,S,Like New,10,19499,2350
L0081,FBB,Kurta,Unisex,category_derived,Cotton,M,Used,9,999,100
L0082,Aurelia,Ethnic Wear,Unisex,category_derived,Cotton,M,Used,6,1199,150
L0083,Bewakoof,Top,Women,category_derived,Polyester,XS,Like New,5,799,110
L0084,Style Bazaar,Top,Women,category_derived,Polyester,XL,Used,8,299,30
L0085,Rangriti,Kurta,Unisex,category_derived,Cotton,M,New,3,699,90
L0086,Flying Machine,Jeans,Unisex,category_derived,Denim,L,Used,9,3199,420
L0087,Mufti,Shirt,Unisex,category_derived,Linen,M,Used,11,3499,300
L0088,Suta,Saree,Women,category_derived,Linen,M,Like New,6,3499,440
L0089,H&M,Dress,Women,category_derived,Silk,S,Like New,6,1499,180
L0090,Zara,Dress,Women,category_derived,Linen,S,New,2,6990,1050
L0091,Forever 21,Top,Women,category_derived,Cotton,S,Like New,5,1500,225
L0092,Highlander,Top,Women,category_derived,Cotton,XL,Like New,2,599,80
L0093,Prada,Dress,Women,category_derived,Silk,M,Like New,8,75499,8250
L0094,Soch,Ethnic Wear,Unisex,category_derived,Silk,S,Like New,4,1499,205
L0095,Neeru's,Ethnic Wear,Unisex,category_derived,Silk,M,Like New,7,14999,1850
L0096,Meena Bazaar,Ethnic Wear,Unisex,category_derived,Silk,S,New,4,12999,1720
L0097,Sabyasachi,Lehenga,Women,category_derived,Silk,L,Like New,8,51999,7150
L0098,Rohit Bal,Ethnic Wear,Unisex,category_derived,Silk,L,Like New,5,49999,6350
L0099,W for Woman,Ethnic Wear,Unisex,category_derived,Silk,S,Used,7,1199,135
L0100,Armani,Ethnic Wear,Unisex,category_derived,Polyester,L,New,2,85000,12100
L0101,Rangriti,Kurta,Unisex,category_derived,Cotton,M,New,3,699,65
L0102,Style Bazaar,Top,Women,category_derived,Polyester,XL,Used,8,299,20
L0103,Soch,Ethnic Wear,Unisex,category_derived,Cotton,XS,Used,9,799,35
L0104,AND,Dress,Women,category_derived,Cotton,M,Like New,5,4999,510
L0105,House of Masaba,Saree,Women,category_derived,Silk,M,Like New,7,13499,1500
L0106,Nicobar,Dress,Women,category_derived,Linen,S,New,3,7999,1000
L0107,Zara,Dress,Women,category_derived,Linen,L,New,2,9999,1320
L0108,Armani,Jacket,Unisex,category_derived,Leather,S,Used,11,45459,3700
L0109,Zudio,Top,Women,category_derived,Cotton,S,Like New,4,599,40
L0110,Easybuy,Shirt,Unisex,category_derived,Polyester,M,Used,8,699,40
L0111,W for Woman,Saree,Women,category_derived,Silk,M,New,2,2499,330
L0112,Zudio,Shirt,Unisex,category_derived,Cotton,M,New,1,399,30
L0113,Easybuy,Top,Women,category_derived,Polyester,S,Like New,3,499,35
L0114,GAP,Jeans,Unisex,category_derived,Denim,L,Used,11,5999,335
L0115,American Eagle,Jeans,Unisex,category_derived,Denim,XS,Used,8,8499,550
L0116,Under Armour,Activewear,Unisex,category_derived,Polyester,M,New,3,6999,800
L0117,Anita Dongre,Lehenga,Women,category_derived,Silk,S,Like New,10,19499,1950
L0118,FBB,Kurta,Unisex,category_derived,Cotton,M,Used,9,999,50
L0119,Pantaloons,Jeans,Unisex,category_derived,Denim,L,Like New,5,1199,80
L0120,Vishal Mega Mart,Shirt,Unisex,category_derived,Cotton,L,Used,7,399,25
L0121,Roadster,Shirt,Unisex,category_derived,Cotton,M,New,3,1099,80
L0122,Libas,Kurta,Unisex,category_derived,Cotton,M,Like New,4,1199,90
L0123,Sabyasachi,Lehenga,Women,category_derived,Silk,L,Like New,8,51999,6400
L0124,Gucci,Jacket,Unisex,category_derived,Leather,S,New,1,61999,10200
L0125,Max Fashion,Jeans,Unisex,category_derived,Denim,M,New,3,999,70
L0126,Reliance Trends,Top,Women,category_derived,Cotton,S,Like New,6,799,50
L0127,Aurelia,Ethnic Wear,Unisex,category_derived,Cotton,S,Like New,2,699,60
L0128,Libas,Kurta,Unisex,category_derived,Cotton,S,New,4,899,65
L0129,Max Fashion,Jeans,Unisex,category_derived,Denim,M,Used,5,799,40
L0130,Reliance Trends,Shirt,Unisex,category_derived,Cotton,L,New,3,499,40
L0131,Fabindia,Kurta,Unisex,category_derived,Cotton,M,Used,7,2999,200
L0132,Suta,Saree,Women,category_derived,Linen,M,Like New,6,3499,320
L0133,H&M,Dress,Women,category_derived,Cotton,S,Like New,6,1499,120
L0134,Levi's,Jeans,Unisex,category_derived,Denim,M,New,2,3999,480
L0135,Zara,Jacket,Unisex,category_derived,Denim,M,Used,8,4999,350
L0136,Uniqlo,Jacket,Unisex,category_derived,Polyester,M,Like New,5,1999,170
L0137,Forever 21,Dress,Women,category_derived,Polyester,S,New,2,1299,140
L0138,GAP,Jeans,Unisex,category_derived,Denim,M,Used,10,3999,260
L0139,FBB,Ethnic Wear,Unisex,category_derived,Cotton,L,New,4,699,60
L0140,Prada,Dress,Women,category_derived,Silk,S,Like New,6,85999,9800
L0141,Highlander,Top,Women,category_derived,Cotton,XL,Like New,2,599,45
L0142,Louis Vuitton,Shirt,Unisex,category_derived,Linen,XS,Like New,5,70499,8800
L0143,Prada,Dress,Women,category_derived,Silk,M,Like New,8,75499,8900
L0144,Soch,Ethnic Wear,Unisex,category_derived,Silk,S,Like New,4,1499,160
L0145,Suta,Saree,Women,category_derived,Silk,M,New,1,2999,415
L0146,Nalli,Saree,Women,category_derived,Silk,M,Like New,3,6999,875
L0147,Neeru's,Lehenga,Women,category_derived,Silk,L,Like New,7,14999,1500
L0148,Meena Bazaar,Lehenga,Women,category_derived,Silk,S,New,4,12999,1620
L0149,Rangriti,Kurta,Unisex,category_derived,Cotton,M,New,2,999,70
L0150,Vishal Mega Mart,Kurta,Unisex,category_derived,Cotton,L,Like New,5,799,50
L0151,Style Bazaar,Shirt,Unisex,category_derived,Cotton,XL,Used,7,499,30
L0152,American Eagle,Jeans,Unisex,category_derived,Denim,L,Like New,4,4999,450
L0153,Sabyasachi,Lehenga,Women,category_derived,Silk,M,Like New,4,89999,14000
L0154,Manish Malhotra,Lehenga,Women,category_derived,Silk,M,Used,8,79999,9000
L0155,Uniqlo,Jacket,Unisex,category_derived,Denim,XS,Like New,5,1499,130
L0156,Forever 21,Dress,Women,category_derived,Cotton,M,Like New,6,1299,110
L0157,Manyavar,Ethnic Wear,Unisex,category_derived,Silk,XL,Like New,2,5499,690
L0158,Fabindia,Ethnic Wear,Unisex,category_derived,Silk,XS,Used,8,2199,175
L0159,Tommy Hilfiger,Shirt,Unisex,category_derived,Cotton,L,Like New,6,5999,600
L0160,Calvin Klein,Jacket,Unisex,category_derived,Denim,M,Used,9,7999,550
L0161,Aurelia,Kurta,Unisex,category_derived,Cotton,S,Used,8,999,60
L0162,Biba,Kurta,Unisex,category_derived,Cotton,M,Like New,5,1499,120
L0163,UCB,Shirt,Unisex,category_derived,Cotton,S,Like New,5,3499,300
L0164,Global Desi,Saree,Women,category_derived,Silk,S,Like New,6,2499,270
L0165,Anouk,Saree,Women,category_derived,Silk,M,New,3,1999,250
L0166,Indya,Jacket,Unisex,category_derived,Denim,M,Used,9,1499,100
L0167,Flying Machine,Jeans,Unisex,category_derived,Denim,L,Like New,4,1499,150
L0168,Mufti,Shirt,Unisex,category_derived,Linen,M,Used,11,3499,200
L0169,Anouk,Saree,Women,category_derived,Cotton,M,Used,7,1399,90
L0170,Indya,Jacket,Unisex,category_derived,Denim,S,Like New,5,1299,120
L0171,Pantaloons,Jeans,Unisex,category_derived,Denim,L,Used,9,1099,60
L0172,Roadster,Jeans,Unisex,category_derived,Denim,XL,New,2,1099,110
L0173,Armani,Ethnic Wear,Unisex,category_derived,Polyester,L,New,2,85000,11000
L0174,Versace,Dress,Women,category_derived,Silk,M,Like New,5,110000,14000
L0175,Spykar,Shirt,Unisex,category_derived,Cotton,M,Like New,2,999,90
L0176,Being Human,Top,Women,category_derived,Linen,S,New,8,999,85
L0177,Prada,Dress,Women,category_derived,Silk,S,Like New,4,95000,9000
L0178,Adidas,Activewear,Unisex,category_derived,Polyester,S,Like New,5,3499,330
L0179,Puma,Activewear,Unisex,category_derived,Polyester,M,Used,7,2999,210
L0180,Louis Vuitton,Jacket,Unisex,category_derived,Leather,M,Used,10,150000,15000
L0181,Red Tape,Shirt,Unisex,category_derived,Linen,S,New,3,899,95
L0182,H&M,Dress,Women,category_derived,Cotton,S,Used,9,1199,70
L0183,Gucci,Jacket,Unisex,category_derived,Leather,M,Like New,6,120000,18000
L0184,Bewakoof,Top,Women,category_derived,Polyester,S,Used,6,499,25
L0185,Reebok,Activewear,Unisex,category_derived,Polyester,L,New,3,2799,300
L0186,Skechers,Activewear,Unisex,category_derived,Polyester,M,Like New,4,4999,480
L0187,Moda Rapido,Dress,Women,category_derived,Denim,S,New,1,899,80
L0188,Biba,Kurta,Unisex,category_derived,Silk,M,Like New,4,999,85
