listing_id,brand,category,gender,gender_source,material,size,condition,age_months,original_price,provider_price
L0189,W for Woman,Ethnic Wear,Unisex,category_derived,Cotton,S,Used,7,1199,75
L0190,Global Desi,Saree,Women,category_derived,Silk,M,Like New,6,1499,140
L0191,Nike,Activewear,Unisex,category_derived,Polyester,M,New,2,3999,450
L0192,Tarun Tahiliani,Saree,Women,category_derived,Silk,S,Like New,6,69999,10000
L0193,Anita Dongre,Saree,Women,category_derived,Silk,M,New,3,59999,9000
L0194,Highlander,Shirt,Unisex,category_derived,Cotton,M,New,3,999,100
L0195,Moda Rapido,Dress,Women,category_derived,Polyester,M,Used,7,1199,90
L0196,Bewakoof,Top,Women,category_derived,Cotton,S,New,2,899,90
L0197,Rohit Bal,Ethnic Wear,Unisex,category_derived,Silk,L,Like New,5,49999,8000
L0198,HRX,Activewear,Unisex,category_derived,Polyester,XS,Like New,3,999,85
L0199,Flying Machine,Jacket,Unisex,category_derived,Denim,S,Like New,4,1299,110
L0200,Mufti,Shirt,Unisex,category_derived,Linen,L,Used,10,3099,180
L0201,Killer,Jeans,Unisex,category_derived,Denim,L,New,6,1199,100
L0202,Zudio,Top,Women,category_derived,Cotton,M,Like New,5,1200,70
L0203,Easybuy,Shirt,Unisex,category_derived,Polyester,L,New,2,1500,110
L0204,Vishal Mega Mart,Jeans,Unisex,category_derived,Denim,S,Used,8,1400,50
L0205,Rangriti,Kurta,Unisex,category_derived,Cotton,M,Like New,6,1800,100
L0206,Style Bazaar,Top,Women,category_derived,Polyester,XS,New,1,1000,70
L0207,Soch,Ethnic Wear,Unisex,category_derived,Silk,M,Like New,4,3200,250
L0208,Aurelia,Kurta,Unisex,category_derived,Cotton,L,New,3,2800,250
L0209,Libas,Dress,Women,category_derived,Linen,S,Used,10,3000,150
L0210,Max Fashion,Jeans,Unisex,category_derived,Denim,M,Like New,7,2200,100
L0211,Reliance Trends,Shirt,Unisex,category_derived,Cotton,XL,New,2,2600,250
L0212,Brand Factory,Jacket,Unisex,category_derived,Polyester,L,Used,12,3500,150
L0213,FBB,Top,Women,category_derived,Cotton,M,Like New,5,2000,150
L0214,Bewakoof,Activewear,Unisex,category_derived,Polyester,S,New,1,1800,150
L0215,Highlander,Jeans,Unisex,category_derived,Denim,L,Used,9,2400,100
L0216,Moda Rapido,Shirt,Unisex,category_derived,Cotton,M,Like New,6,2100,150
L0217,Biba,Ethnic Wear,Unisex,category_derived,Silk,M,New,2,5000,600
L0218,W for Woman,Kurta,Unisex,category_derived,Cotton,L,Like New,4,4500,350
L0219,Global Desi,Dress,Women,category_derived,Linen,S,Used,11,5200,250
L0220,Anouk,Kurta,Unisex,category_derived,Cotton,M,Like New,7,4000,250
L0221,Indya,Ethnic Wear,Unisex,category_derived,Silk,M,New,3,5500,600
L0222,Pantaloons,Shirt,Unisex,category_derived,Cotton,L,Used,8,3800,200
L0223,Roadster,Jeans,Unisex,category_derived,Denim,M,Like New,6,4200,250
L0224,HRX,Activewear,Unisex,category_derived,Polyester,S,New,2,4800,450
L0225,Flying Machine,Jeans,Unisex,category_derived,Denim,L,Like New,5,4600,300
L0226,Mufti,Shirt,Unisex,category_derived,Cotton,M,Used,10,5000,250
L0227,Manyavar,Ethnic Wear,Unisex,category_derived,Silk,L,New,2,8500,1200
L0228,Fabindia,Kurta,Unisex,category_derived,Linen,M,Like New,5,7500,700
L0229,Jaypore,Saree,Women,category_derived,Silk,S,Used,12,9000,700
L0230,Suta,Saree,Women,category_derived,Cotton,M,Like New,6,8000,650
L0231,Nalli,Saree,Women,category_derived,Silk,L,New,1,9500,1300
L0232,Neeru's,Lehenga,Women,category_derived,Silk,M,Like New,4,11000,1000
L0233,Meena Bazaar,Ethnic Wear,Unisex,category_derived,Silk,S,Used,10,10000,700
L0234,AND,Dress,Women,category_derived,Linen,M,New,3,7200,900
L0235,Label Ritu Kumar,Ethnic Wear,Unisex,category_derived,Silk,L,Like New,7,12000,1000
L0236,Masaba,Dress,Women,category_derived,Cotton,S,Used,9,9500,600
L0237,House of Masaba,Dress,Women,category_derived,Linen,M,Like New,5,10000,900
L0238,Nicobar,Kurta,Unisex,category_derived,Linen,L,New,2,8000,1000
L0239,Zara,Jacket,Unisex,category_derived,Polyester,M,Like New,6,9000,800
L0240,Marks & Spencer,Dress,Women,category_derived,Cotton,S,Used,8,8500,600
L0241,GAP,Jeans,Unisex,category_derived,Denim,L,Like New,7,7800,650
L0242,American Eagle,Jeans,Unisex,category_derived,Denim,M,New,2,8200,900
L0243,Mango,Dress,Women,category_derived,Linen,S,Like New,5,9500,900
L0244,Nike,Activewear,Unisex,category_derived,Polyester,M,Used,9,10000,600
L0245,Adidas,Jacket,Unisex,category_derived,Polyester,L,Like New,4,11000,1100
L0246,New Balance,Activewear,Unisex,category_derived,Polyester,S,New,3,9500,1100
L0247,Asics,Activewear,Unisex,category_derived,Polyester,M,Like New,6,9000,800
L0248,Under Armour,Activewear,Unisex,category_derived,Polyester,L,Used,11,10500,600
L0249,Tommy Hilfiger,Shirt,Unisex,category_derived,Cotton,M,Like New,5,9800,850
L0250,Calvin Klein,Jacket,Unisex,category_derived,Leather,L,New,2,12000,1500
L0251,Diesel,Jeans,Unisex,category_derived,Denim,M,Like New,7,11000,950
L0252,Superdry,Jacket,Unisex,category_derived,Polyester,M,Like New,6,10500,950
L0253,Raw Mango,Saree,Women,category_derived,Silk,L,New,2,18000,2700
L0254,Anita Dongre,Lehenga,Women,category_derived,Silk,M,Like New,5,22000,2500
L0255,Sabyasachi,Saree,Women,category_derived,Silk,S,Used,10,25000,2000
L0256,Tarun Tahiliani,Lehenga,Women,category_derived,Silk,M,New,3,28000,4200
L0257,Rohit Bal,Ethnic Wear,Unisex,category_derived,Silk,L,Like New,7,24000,2500
L0258,Anamika Khanna,Lehenga,Women,category_derived,Silk,M,Used,12,26000,2000
L0259,Gucci,Jacket,Unisex,category_derived,Leather,L,New,2,30000,4500
L0260,Louis Vuitton,Jacket,Unisex,category_derived,Leather,M,Like New,4,32000,4000
L0261,Prada,Dress,Women,category_derived,Silk,S,Used,9,27000,2500
L0262,Armani,Shirt,Unisex,category_derived,Linen,M,Like New,6,21000,2000
L0263,Versace,Dress,Women,category_derived,Silk,L,New,1,29000,4500
L0264,Burberry,Jacket,Unisex,category_derived,Cotton,M,Used,11,26000,2000
L0265,Balenciaga,Jacket,Unisex,category_derived,Leather,L,Like New,5,31000,4000
L0266,Dolce & Gabbana,Dress,Women,category_derived,Silk,S,New,3,28000,4200
L0267,Zudio,Top,Women,category_derived,Cotton,S,New,2,900,60
L0268,Soch,Kurta,Unisex,category_derived,Cotton,M,Like New,6,3000,200
L0269,Biba,Kurta,Unisex,category_derived,Cotton,L,Used,9,4200,200
L0270,Manyavar,Ethnic Wear,Unisex,category_derived,Silk,M,Like New,5,9000,900
L0271,Nike,Activewear,Unisex,category_derived,Polyester,S,Like New,6,9500,800
L0272,Levi's,Jeans,Unisex,category_derived,Denim,M,New,2,8000,800
L0273,Fabindia,Kurta,Unisex,category_derived,Linen,L,Used,10,7000,400
L0274,Pantaloons,Shirt,Unisex,category_derived,Cotton,M,Like New,5,4500,300
L0275,Reliance Trends,Top,Women,category_derived,Cotton,S,Used,8,2000,100
L0276,Easybuy,Shirt,Unisex,category_derived,Cotton,M,New,1,1400,100
L0277,Vishal Mega Mart,Top,Women,category_derived,Polyester,S,Like New,6,1200,70
L0278,Rangriti,Kurta,Unisex,category_derived,Cotton,L,Used,9,1700,60
L0279,Style Bazaar,Top,Women,category_derived,Cotton,M,Like New,5,1100,70
L0280,Zudio,Jeans,Unisex,category_derived,Denim,S,Used,8,1300,50
L0281,Aurelia,Dress,Women,category_derived,Linen,M,New,2,3200,300
L0282,Libas,Kurta,Unisex,category_derived,Cotton,L,Like New,6,2800,200
L0283,Max Fashion,Jeans,Unisex,category_derived,Denim,S,Used,11,2500,100
L0284,Reliance Trends,Shirt,Unisex,category_derived,Cotton,M,Like New,4,2600,200
L0285,Brand Factory,Jacket,Unisex,category_derived,Polyester,L,New,3,3400,350
L0286,Pantaloons,Top,Women,category_derived,Cotton,S,Like New,5,3800,300
L0287,Roadster,Jeans,Unisex,category_derived,Denim,M,Used,9,4200,200
L0288,HRX,Activewear,Unisex,category_derived,Polyester,L,Like New,6,5000,350
L0289,Flying Machine,Jeans,Unisex,category_derived,Denim,M,New,2,4800,500
L0290,Mufti,Shirt,Unisex,category_derived,Cotton,S,Used,10,5200,250
L0291,Fabindia,Kurta,Unisex,category_derived,Linen,M,Like New,5,7800,700
L0292,Zara,Dress,Women,category_derived,Linen,S,New,2,9000,1100
L0293,GAP,Jeans,Unisex,category_derived,Denim,L,Used,8,8200,500
L0294,Nike,Activewear,Unisex,category_derived,Polyester,M,New,3,10000,1200
L0295,Tommy Hilfiger,Shirt,Unisex,category_derived,Cotton,L,Like New,6,9500,800
L0296,Raw Mango,Saree,Women,category_derived,Silk,M,Like New,5,20000,2500
L0297,Anita Dongre,Lehenga,Women,category_derived,Silk,S,New,2,23000,3500
L0298,Sabyasachi,Saree,Women,category_derived,Silk,L,Used,11,27000,2000
L0299,Gucci,Jacket,Unisex,category_derived,Leather,M,Like New,6,32000,4000
L0300,Prada,Dress,Women,category_derived,Silk,S,New,1,29000,4500
L0301,Easybuy,Top,Women,category_derived,Cotton,S,Like New,4,1300,80
L0302,Vishal Mega Mart,Shirt,Unisex,category_derived,Polyester,M,Used,10,1500,60
L0303,Rangriti,Kurta,Unisex,category_derived,Cotton,M,New,2,1600,110
L0304,Style Bazaar,Top,Women,category_derived,Cotton,L,Like New,6,1200,70
L0305,Zudio,Shirt,Unisex,category_derived,Polyester,M,Used,9,1400,60
L0306,Soch,Saree,Women,category_derived,Silk,L,Like New,5,3500,300
L0307,Aurelia,Kurta,Unisex,category_derived,Cotton,S,Used,11,3000,150
L0308,Libas,Dress,Women,category_derived,Linen,M,New,3,3200,300
L0309,Max Fashion,Jeans,Unisex,category_derived,Denim,L,Like New,7,2600,150
L0310,Reliance Trends,Top,Women,category_derived,Cotton,M,Used,8,2400,100
L0311,Pantaloons,Shirt,Unisex,category_derived,Cotton,M,New,2,4000,400
L0312,Roadster,Jeans,Unisex,category_derived,Denim,S,Like New,6,4500,300
L0313,HRX,Activewear,Unisex,category_derived,Polyester,M,Used,10,5200,250
L0314,Flying Machine,Jeans,Unisex,category_derived,Denim,L,Like New,5,4800,300
L0315,Mufti,Shirt,Unisex,category_derived,Cotton,M,New,1,5000,500
L0316,Fabindia,Kurta,Unisex,category_derived,Linen,S,Used,9,8200,500
L0317,Mango,Dress,Women,category_derived,Linen,M,Like New,6,9500,900
L0318,Adidas,Jacket,Unisex,category_derived,Polyester,L,New,2,11000,1300
L0319,Calvin Klein,Jacket,Unisex,category_derived,Leather,M,Like New,5,12000,1500
L0320,Diesel,Jeans,Unisex,category_derived,Denim,S,Used,11,11500,700
L0321,Raw Mango,Saree,Women,category_derived,Silk,L,New,3,21000,3200
L0322,Tarun Tahiliani,Lehenga,Women,category_derived,Silk,M,Like New,6,28000,3000
L0323,Rohit Bal,Ethnic Wear,Unisex,category_derived,Silk,S,Used,12,25000,2000
L0324,Louis Vuitton,Jacket,Unisex,category_derived,Leather,L,Like New,5,33000,4000
L0325,Versace,Dress,Women,category_derived,Silk,M,New,2,30000,4500
L0326,Zudio,Top,Women,category_derived,Cotton,L,Like New,5,1100,70
L0327,Easybuy,Jeans,Unisex,category_derived,Denim,M,Used,8,1500,50
L0328,Vishal Mega Mart,Shirt,Unisex,category_derived,Polyester,S,New,2,1300,90
L0329,Rangriti,Kurta,Unisex,category_derived,Cotton,M,Like New,6,1700,100
L0330,Style Bazaar,Top,Women,category_derived,Cotton,M,Used,9,1200,60
L0331,Soch,Ethnic Wear,Unisex,category_derived,Silk,M,New,3,3800,400
L0332,Aurelia,Dress,Women,category_derived,Linen,L,Like New,5,3400,250
L0333,Libas,Kurta,Unisex,category_derived,Cotton,S,Used,10,3000,150
L0334,Max Fashion,Jeans,Unisex,category_derived,Denim,M,New,2,2600,250
L0335,Reliance Trends,Shirt,Unisex,category_derived,Cotton,L,Like New,6,2800,200
L0336,Pantaloons,Top,Women,category_derived,Cotton,M,Used,8,4200,200
L0337,Roadster,Jeans,Unisex,category_derived,Denim,L,New,3,4800,450
L0338,HRX,Activewear,Unisex,category_derived,Polyester,S,Like New,6,5200,350
L0339,Flying Machine,Jeans,Unisex,category_derived,Denim,M,Used,11,5000,250
L0340,Mufti,Shirt,Unisex,category_derived,Cotton,L,Like New,5,5300,400
L0341,Fabindia,Kurta,Unisex,category_derived,Linen,M,New,2,8500,1000
L0342,Zara,Dress,Women,category_derived,Linen,S,Like New,6,9200,900
L0343,Nike,Activewear,Unisex,category_derived,Polyester,M,Used,10,10000,600
L0344,Tommy Hilfiger,Shirt,Unisex,category_derived,Cotton,L,Like New,4,9800,1000
L0345,Diesel,Jeans,Unisex,category_derived,Denim,M,New,2,11500,1400
L0346,Raw Mango,Saree,Women,category_derived,Silk,S,Like New,6,22000,2500
L0347,Anita Dongre,Lehenga,Women,category_derived,Silk,M,Used,12,24000,2000
L0348,Sabyasachi,Saree,Women,category_derived,Silk,L,New,2,28000,4200
L0349,Gucci,Jacket,Unisex,category_derived,Leather,M,Like New,5,32000,6000
L0350,Prada,Dress,Women,category_derived,Silk,S,Used,9,30000,2500
L0351,Easybuy,Shirt,Unisex,category_derived,Cotton,M,Like New,6,1400,90
L0352,Vishal Mega Mart,Top,Women,category_derived,Polyester,S,Used,10,1500,60
L0353,Rangriti,Kurta,Unisex,category_derived,Cotton,L,New,2,1800,130
L0354,Style Bazaar,Top,Women,category_derived,Cotton,M,Like New,5,1200,80
L0355,Zudio,Jeans,Unisex,category_derived,Denim,S,Used,9,1300,50
L0356,Soch,Saree,Women,category_derived,Silk,M,Like New,4,4000,350
L0357,Aurelia,Kurta,Unisex,category_derived,Cotton,L,New,3,3200,300
L0358,Libas,Dress,Women,category_derived,Linen,S,Used,11,3500,200
L0359,Max Fashion,Jeans,Unisex,category_derived,Denim,M,Like New,6,2800,200
L0360,Reliance Trends,Shirt,Unisex,category_derived,Cotton,XL,New,1,3000,300
L0361,Pantaloons,Top,Women,category_derived,Cotton,S,Like New,5,4500,350
L0362,Roadster,Jeans,Unisex,category_derived,Denim,M,Used,8,4800,250
L0363,HRX,Activewear,Unisex,category_derived,Polyester,L,New,2,5500,550
L0364,Flying Machine,Jeans,Unisex,category_derived,Denim,M,Like New,6,5200,350
L0365,Mufti,Shirt,Unisex,category_derived,Cotton,S,Used,10,5600,300
L0366,Fabindia,Kurta,Unisex,category_derived,Linen,M,Like New,5,9000,900
L0367,Zara,Dress,Women,category_derived,Linen,S,New,2,10000,1200
L0368,Adidas,Jacket,Unisex,category_derived,Polyester,L,Like New,6,11500,1000
L0369,Tommy Hilfiger,Shirt,Unisex,category_derived,Cotton,M,Used,9,10500,700
L0370,Calvin Klein,Jacket,Unisex,category_derived,Leather,L,New,3,13000,2000
L0371,Raw Mango,Saree,Women,category_derived,Silk,L,New,2,24000,3600
L0372,Anita Dongre,Lehenga,Women,category_derived,Silk,M,Like New,6,26000,3000
L0373,Tarun Tahiliani,Lehenga,Women,category_derived,Silk,S,Used,12,29000,2000
L0374,Louis Vuitton,Jacket,Unisex,category_derived,Leather,M,New,1,35000,5200
L0375,Burberry,Jacket,Unisex,category_derived,Cotton,L,Like New,5,27000,3000
